id,title,feedback_correct,feedback_incorrect
3b90f5fd-35ad-4102-a55f-1e7527a2697b,action | thing,"Exactly right. Action is the literal ""doing"" and animating force of IS, while a ""thing"" is the inert, materialized object of IT.",Most players didn’t see it that way. The crowd generally maps the process of action to IS and the stationary object to IT.
c862c7c9-ee4c-4c08-822d-17bd5190b2a1,active | passive,"Spot on! ""Active"" represents the kinetic output of IS, while ""passive"" represents the receptive, static state of IT.",The crowd doesn’t concur on this one. The majority perceives the driving energy as IS and the stationary state as IT.
de4e794c-73c4-4c12-b1a0-0026b959bb1e,all | nothing,"Bingo. ""All"" represents the infinite totality and potential of IS, while ""nothing"" is the void or absence of manifestation in IT.","That isn’t the consensus answer. Most people map the ""Absolute Infinite"" to IS and the empty ""zero"" state to IT."
0bb05247-598b-4a07-8977-7b70b0266678,always | never,"You’ve got it. ""Always"" represents the eternal, ever-present flow of IS, while ""never"" represents the absolute boundary or non-existence of IT.","Most people seem to lean the other direction. Most see the infinite nature of ""always"" as IS and the definitive ""never"" as the limit of IT."
3066e311-7f11-4dcc-a382-a997d597b2ce,art | science,"Brilliant. Art is the fluid, intuitive expression of IS, while science is the structured, empirical study of IT.",The collective consensus points elsewhere. The crowd typically maps the creative spark to IS and the rigid methodology to IT.
12f8c04b-7d93-4f2d-867f-142201547be7,assembly line | craft table,"You’re seeing the pattern. The craft table represents unique, human-led creation (IS), while the assembly line is the rigid, repeatable structure of IT.",The majority has a different perspective. Most players see the organic flow of crafting as IS and the mechanical grid of the line as IT.
bdfedb3d-ded1-488e-8885-4dd335196264,attraction | repulsion,"Logically sound. Attraction is the drawing-in of the animating force (IS), while repulsion is the structural ""push"" and boundary of IT.","That choice doesn't quite align with the crowd. Most map the magnetic ""pull"" to the active energy of IS and the ""push"" to the reactive limit of IT."
d535492b-bdee-480f-a726-850fc6f0dad4,backpack | briefcase,"Nailed it! The backpack represents mobile, versatile movement (IS), while the briefcase represents the formal, rigid structure of IT.","Interesting take, though it’s not the common one. The consensus is that the flexible pack is IS and the stiff, professional case is IT."
ca5a24d7-ba65-4d04-9eb0-22bf95056a1b,backward | forward,"Great intuition. ""Forward"" is the expansive direction of progress (IS), while ""backward"" is the return to the fixed, already-manifested past (IT).","Most players found a different logic here. Most see the ""reaching out"" of forward as IS and the ""looking back"" as the record of IT."
b68a0e7b-3942-47cf-9bf5-0ac170efd884,banker | artist,"A masterstroke of mapping. The artist represents the creative, expressive flow of IS, while the banker manages the structured, material assets of IT.",That isn’t how the majority perceives this pair. The crowd maps the creative animator to IS and the structural administrator to IT.
d379a2bd-9381-414c-9168-6cbe4e019f6d,barcode | signature,"Top-tier answer. A signature is a unique, personal expression of IS, while a barcode is a standardized, mechanical label of IT.",You’re in the minority with this choice. Most players see the unique human mark as IS and the machine-readable code as IT.
7ec9c16f-f2cd-4308-bb71-5e7465d3c30e,be | that,"You are in sync with the Construct. ""Be"" is the pure state of existence or IS, while ""that"" identifies a specific, materialized object or IT.","The group's intuition led them elsewhere. Most map the active state of ""being"" to IS and the identified ""thing"" to IT."
cb6b76e5-c545-4d09-8c11-b637f3d9a8e2,beautiful | ugly,"Perfect alignment. Beauty is often perceived as the harmonious flow of IS, while ugliness is seen as a distortion or density in IT.","It’s a matter of opinion, but most disagree. The crowd typically maps the ""radiance"" of beauty to IS and the ""clutter"" or ""heaviness"" to IT."
207ea06e-b3bc-4b9c-9f92-efab1a40ceee,begin | finish,"You’ve captured the essence. Beginning is the spark of initiation and potential (IS), while finishing is the completion and crystallization into IT.","That wasn't the expected mapping for most. The majority views the ""start"" as the animating impulse and the ""end"" as the final structure."
ba69bd0f-b44b-4a58-b11c-62f5953b7da6,belief | knowledge,"Harmonious mapping. Belief is a dynamic, internal state of IS, while knowledge is a solidified, structured framework of IT.","While an interesting angle, most players didn’t agree. The consensus is that the fluid ""spirit"" of belief is IS and the ""fixed"" fact is IT."
45669279-1973-4076-a89d-0e25462f2c0f,bird | drone,"Spot on! The bird is a living, breathing animator of IS, while the drone is a mechanical, man-made structure of IT.",The crowd doesn’t concur on this one. Most players see the biological life-force as IS and the pre-programmed machine as IT.
19f77785-b22f-41fc-b9cb-12bcbddcf7d8,boardroom | campfire,"You’re on the same wavelength as the majority. The campfire represents raw, flickering energy and community (IS), while the boardroom is a rigid, corporate structure (IT).","Most people seem to lean the other direction. The crowd typically maps the spontaneous ""hearth"" to IS and the formal ""office"" to IT."
9de6b142-c017-4293-a82c-64552b886b71,body | spirit,"Perfect alignment. Spirit is the intangible animating essence of IS, while the body is the materialized, biological vessel of IT.","That isn’t the consensus answer. The majority perceives the ""ghost in the machine"" as IS and the flesh/bone as the material IT."
10cb5b58-29f4-4936-8b95-4cbfd855753a,campus | cubicle,"Great intuition. A campus represents an open, expansive environment of learning (IS), while a cubicle is a small, restrictive structure (IT).","Interesting take, though it’s not the common one. Most players map the ""wide-open"" potential of a campus to IS and the ""walled-in"" space to IT."
